,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,8,-96,8,5.2848034,3250,8.492108593269892e-08
2,2,-12,-101,18,5.0056105,1671,3.5530025306091684e-07
1,1a,-2,-101,10,4.678977,,1.7408198410463683e-06
6,3,-19,-105,-12,4.631083,2531,2.180572280129174e-06
3,2a,-19,-99,15,4.373553,,7.073379412972859e-06
10,4,3,-68,-51,4.2860904,515,1.0410039825330523e-05
11,5,52,11,-16,4.2289615,281,1.3350477074760721e-05
12,6,18,-70,-48,4.1474886,1937,1.894188506980277e-05
13,7,-14,-66,-56,4.1314783,1625,2.0275881364906173e-05
14,8,63,-53,9,4.102806,109,2.2891071975486465e-05
15,9,13,-85,40,4.060397,12578,2.7353744398462468e-05
19,10,16,-98,23,4.0425034,656,2.9474526719888943e-05
20,11,36,-74,-15,3.9088151,3296,5.103281771808446e-05
4,2b,-27,-97,5,3.8914497,,5.47410415458289e-05
24,12,62,-10,13,3.8512828,93,6.431789307185547e-05
16,9a,35,-70,32,3.8377345,,6.789054972973373e-05
25,13,43,-52,-44,3.7802129,984,8.525106928756995e-05
21,11a,45,-56,-16,3.7589104,,9.268288711157367e-05
27,14,62,-8,5,3.750768,31,9.568156646926739e-05
17,9b,15,-45,41,3.74837,,9.658197077268988e-05
18,9c,30,-42,38,3.7356515,,0.00010149239552086967
7,3a,-9,-87,-18,3.7231069,,0.00010656523974967922
28,15,34,3,37,3.6968496,468,0.00011796566350183789
8,3b,-4,-92,-13,3.6720593,,0.00012977339779735836
29,16,2,28,-15,3.6702816,375,0.00013066143303895345
30,17,-9,40,37,3.6631644,140,0.00013427442463519656
31,18,5,-46,3,3.6586528,3125,0.00013661305963759014
32,18a,13,-51,1,3.6368337,,0.00014847315743763732
22,11b,30,-59,-23,3.6349676,,0.00014953115128955874
34,19,-39,-87,-3,3.606554,46,0.0001665402052128394
23,11c,40,-41,-12,3.5935435,,0.00017491981411267118
33,18b,10,-39,1,3.5677607,,0.00019270614737927334
35,20,-50,-72,6,3.532826,46,0.0002195186032120601
36,21,-46,38,-13,3.5218508,46,0.00022863776026426882
37,22,-58,1,13,3.5104384,46,0.00023849513332595452
38,23,57,-13,-12,3.5076375,937,0.000240974425294312
9,3c,1,-77,-16,3.4979937,,0.00024969625457862027
40,24,15,-73,9,3.479412,796,0.00026733916474740854
42,25,-23,28,-10,3.4522228,125,0.0002952622913023671
39,23a,50,-11,-15,3.4373183,,0.00031170094079820034
43,26,52,36,-37,3.431909,62,0.0003178751695394356
44,27,-16,-40,40,3.4293249,109,0.000320864930600253
41,24a,13,-66,14,3.4288387,,0.0003214302766121374
45,28,18,-52,-36,3.4065151,140,0.00034841435499488626
46,29,0,-17,-15,3.4027772,78,0.0003531337869054932
47,30,-6,-22,40,3.3926623,109,0.00036620487055040045
48,31,25,-52,-21,3.3863692,93,0.00037456295207301667
49,32,-20,-78,34,3.3730247,187,0.0003928771228419661
50,33,5,-52,-24,3.3502457,171,0.0004260759241160398
51,34,2,-55,39,3.3487945,187,0.00042827697666682327
52,35,16,29,3,3.341714,46,0.0004391680996845508
53,36,8,-41,-59,3.3370306,156,0.0004465125630662448
54,37,7,-62,61,3.316446,46,0.00048016721163608836
55,38,-46,23,-5,3.306817,31,0.0004967053177687424
56,39,-1,-107,-12,3.2982554,15,0.0005118524638182862
57,40,57,-6,-15,3.2979615,46,0.000512380083496877
58,41,-13,-52,66,3.281841,15,0.0005420976028503611
59,42,19,1,47,3.2742016,46,0.000556731605525224
60,43,-39,-87,7,3.2736604,15,0.0005577821068637013
61,44,12,-34,48,3.2606347,156,0.0005836262463888133
26,13a,31,-50,-44,3.2599523,,0.0005850101911279043
62,45,60,-28,-12,3.2493694,78,0.0006068672063483001
63,46,45,-55,19,3.245815,109,0.0006143759913873821
64,47,7,-30,40,3.2440643,109,0.0006181060016328394
65,48,15,-49,-17,3.240889,62,0.0006249246511134932
66,49,-27,44,25,3.2401092,15,0.0006266099766550988
67,50,-17,44,27,3.2380085,31,0.0006311706362188437
68,51,52,-42,21,3.236006,31,0.0006355466158521197
5,2c,-17,-99,2,3.2335927,,0.0006408575934004118
69,52,-56,6,8,3.231405,46,0.0006457076600716746
70,53,47,-31,1,3.2291062,187,0.0006508406036141188
71,54,-17,-80,-31,3.2218874,31,0.0006672055353466547
72,55,23,-78,20,3.214639,140,0.0006840196062438988
73,56,18,-43,-39,3.2118652,15,0.0006905568669830308
74,57,-13,-30,45,3.2080698,93,0.0006995955031753479
75,58,50,-38,1,3.2076836,62,0.0007005214248089413
76,59,7,-22,42,3.2068493,15,0.0007025251670298205
77,60,52,-55,29,3.2035155,109,0.000710585680788
78,61,10,-59,64,3.1967652,15,0.0007271690418209709
79,62,14,-34,50,3.1909363,31,0.0007417754626055419
80,63,55,-48,-6,3.187934,62,0.0007494044074917632
81,64,16,-76,-8,3.187346,46,0.0007509067872390801
82,65,29,36,-5,3.182713,15,0.0007628431460703296
83,66,40,-55,26,3.180978,31,0.000767358037498553
84,67,11,-74,-13,3.1726542,15,0.0007893642497919845
85,68,-38,32,-20,3.1705837,15,0.0007949276146160753
86,69,14,-27,48,3.1700177,15,0.0007964547912506928
87,70,14,-39,48,3.1694546,15,0.0007979769343721875
88,71,50,-41,-1,3.1692507,15,0.0007985285830926353
89,72,19,-42,56,3.1604245,15,0.0008227541548679861
90,73,10,-42,-17,3.1590233,15,0.0008266617749877835
91,74,55,-41,-6,3.1585398,62,0.0008280141601316008
92,75,32,-32,46,3.1502044,15,0.0008516512109406443
93,76,24,-10,37,3.147379,15,0.0008598037624220818
94,77,25,-26,8,3.142954,15,0.0008727155202124744
95,78,0,-80,32,3.140576,15,0.0008797288663881318
96,79,18,-80,22,3.1321237,15,0.0009050765638615561
97,80,60,-51,-6,3.1315587,15,0.00090679488890925
98,81,13,-42,-14,3.1313198,15,0.0009075222739430727
99,82,25,-31,8,3.1309855,15,0.0009085409342713225
