,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,57,-57,27,3.667529,31,0.000132047755886077
1,2,57,-54,32,3.2089024,15,0.0006976034729090538
2,3,-27,-96,20,3.165328,15,0.000809212875963005
