,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,-11,-30,43,4.530858993530273,1031,4.767919830628608e-06
1,2,-1,-5,34,3.5738089084625244,187,0.0002152059186887836
