,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,-16,-40,40,3.4293248653411865,31,0.000320864930600253
1,2,-13,-30,48,3.2045347690582275,31,0.0007081123296047231
