,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
0,1,-21,-42,48,4.256309986114502,562,1.5258445213777678e-05
1,2,-26,-20,42,3.691316843032837,78,0.00013997830910197722
2,3,-13,-27,47,3.5168216228485107,78,0.0002640880907493157
3,4,-16,-37,43,3.1989901065826416,15,0.0007888855032203535
4,5,-26,-25,45,3.195009469985962,15,0.0007993627889859797
5,6,-18,-30,45,3.143986463546753,15,0.0009455802962441605
