,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),p_uncor
53,51,62,-35,21,3.5565076,78,0.00023458154377374883
54,52,42,-39,56,3.5444784,46,0.0002448807852852338
55,53,47,-41,51,3.5328753,31,0.0002552165419183185
56,54,-35,-91,20,3.5292385,15,0.0002585395685202827
57,55,40,-24,-27,3.5236256,62,0.0002637479455696376
58,56,-60,-39,20,3.5029755,15,0.00028377016778526715
13,12a,56,13,24,3.4934056,,0.000293524904451135
59,57,42,-19,-30,3.487919,31,0.0002992583190157961
60,58,57,24,-1,3.4731624,15,0.0003152045547534683
61,59,6,-19,67,3.4529033,46,0.0003383970180776645
62,60,33,-87,33,3.3980021,15,0.0004095338320787437
63,61,-55,-54,23,3.391618,15,0.0004186580192507913
64,62,15,-92,33,3.3914523,31,0.0004188973487196878
65,63,43,-67,-31,3.386611,15,0.00042594660042604516
66,64,-50,-41,-40,3.3859994,15,0.0004268448863051436
67,65,39,-39,58,3.3768437,31,0.00044050699187505313
68,66,-29,-96,17,3.3640704,31,0.0004602505041222098
69,67,54,24,1,3.3525634,31,0.00047874116110948543
70,68,0,-93,30,3.3049986,15,0.0005627740487205836
71,69,30,-90,33,3.2979524,15,0.0005763322996447827
72,70,2,-51,63,3.291064,15,0.0005898803401499289
73,71,-60,-47,8,3.2847247,15,0.0006026098689138748
74,72,-30,-57,58,3.2633932,15,0.0006473461844566461
75,73,-31,-32,62,3.2539704,31,0.0006680747898698383
76,74,-24,40,-20,3.2509322,15,0.0006748887213923675
77,75,-1,-49,63,3.2434433,15,0.0006919616022122678
78,76,-21,40,-23,3.233285,15,0.0007157616688373522
79,77,-23,-65,59,3.2293081,15,0.000725284410485994
80,78,35,-87,30,3.2194223,15,0.0007494685978236105
81,79,-26,-34,65,3.217934,31,0.0007531740465852527
82,80,44,-41,54,3.209186,31,0.0007752973367834526
83,81,-28,-60,58,3.203728,15,0.0007894048247690122
84,82,46,35,16,3.2034526,15,0.0007901228483589212
85,83,46,33,18,3.199636,15,0.0008001370523420371
86,84,45,-22,-30,3.1994734,15,0.0008005662975123039
87,85,53,-64,-13,3.1688924,15,0.0008852016905268959
88,86,-42,-28,-33,3.1640568,15,0.000899319810448136
89,87,-38,-47,55,3.1602957,15,0.0009104444905143084
90,88,53,-61,-16,3.1588562,15,0.0009147361593406518
91,89,-25,-62,59,3.1556199,15,0.0009244527074652041
92,90,-10,-28,-35,3.1463373,15,0.000952854991378234
93,91,53,-68,-3,3.1302137,15,0.0010041155975261552
